CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
18/08/1979  18.3   0.1    28     12.5 
19/08/1979  0      1.5    28     12.5 
20/08/1979  2.3    0.1    20.5   12.5 
21/08/1979  11.3   0.8    20.1   13 
22/08/1979  0      1.8    27.5   13 
23/08/1979  1.3    4.4    29.5   13 
24/08/1979  0      2.5    29     13 
25/08/1979  11.2   1.2    29     13 
26/08/1979  18.7   1.7    28.5   13 
27/08/1979  14.5   1.3    28.5   13 
28/08/1979  10.5   1.5    28     13 
29/08/1979  9.3    2      29     13 
30/08/1979  1.3    2.6    29     13 
31/08/1979  0      2.4    30     13 
01/09/1979  0      1.7    30     13 
02/09/1979  0      2.3    28.5   13 
03/09/1979  58.2   3      28     13 
04/09/1979  9      2.3    27     13.5 
05/09/1979  10     0.1    28     13 
06/09/1979  28     0.3    27.5   13 
07/09/1979  49.1   1.8    27.5   13 
08/09/1979  34.9   1.5    27.5   13 
09/09/1979  40.2   0.4    27     13 
10/09/1979  22     0.5    26     13 
11/09/1979  29.5   2.7    28     13.5 
12/09/1979  3.5    3.3    27.5   13.5 
13/09/1979  55.5   1.9    27     13.5 
14/09/1979  21.1   1.8    27     13.5 
15/09/1979  18     2.3    27     13.5 
16/09/1979  4.8    0.6    27.5   14 
17/09/1979  4.5    0.5    27     14 
18/09/1979  6      0.1    27.5   14 
19/09/1979  5.7    0.5    27.5   14 
20/09/1979  43.5   0.7    27     14 
21/09/1979  4      0.1    27     14 
22/09/1979  2.3    1.5    26     14 
23/09/1979  1      0.5    26     14 
24/09/1979  43.5   0.1    26     14 
25/09/1979  14     0.9    26     14 
26/09/1979  1.2    2      26     13 
27/09/1979  0      1.5    25     13 
28/09/1979  0      3.6    25     13.5 
29/09/1979  0      1.5    25.5   13.5 
30/09/1979  0      2.1    26     12.5 
01/10/1979  0      2.6    26.5   12.5 
02/10/1979  0      3.3    26.5   12.5 
03/10/1979  0      2.4    26     12.5 
04/10/1979  14     1.5    26     12.5 
05/10/1979  0      1.8    26     12.5 
06/10/1979  0      3.8    28.5   12.5 
07/10/1979  0      1      28     12.5 
08/10/1979  0      1.9    27     12.5 
09/10/1979  0      2.5    27     12.5 
10/10/1979  0.5    2.8    21.5   12.5 
11/10/1979  0      2.7    27.5   12.5 
12/10/1979  0      2.7    27.5   12.5 
13/10/1979  0      0.9    27     12.5 
14/10/1979  11.5   0.3    28.5   12.5 
15/10/1979  0      1.2    28     12 
16/10/1979  0      3.8    28.5   12.5 
17/10/1979  0      3.6    28.5   13 
18/10/1979  0      1.7    28     12.5 
19/10/1979  0      4.4    28     13 
20/10/1979  0      0.6    29     11.5 
21/10/1979  0      0.3    29     12.5 
22/10/1979  17.7   1.6    29     12.5 
23/10/1979  7.6    2.4    28     13 
24/10/1979  0      12     27.5   13 
25/10/1979  0      1      27     13 
26/10/1979  0.1    2      27.5   13 
27/10/1979  0.2    1      27     13 
28/10/1979  0      1.8    27     13 
29/10/1979  0      0.5    26.5   12.5 
30/10/1979  0      0.9    27     12.5 
31/10/1979  0.1    1.1    36.5   12.5 
01/11/1979  0      1.7    28     13 
02/11/1979  2.6    2.7    28     13 
03/11/1979  4.5    2.7    27.5   13 
04/11/1979  5.9    1.5    28     13 
05/11/1979  0      1.3    27     13 
06/11/1979  7.6    0.7    27     13 
07/11/1979  0      0.6    26.5   13 
08/11/1979  0      1.6    26.5   13 
09/11/1979  0      1.5    29     13 
10/11/1979  1.1    2.4    29     13 
11/11/1979  0.1    1.7    28     13 
12/11/1979  1.1    0.5    28     13 
13/11/1979  0.4    1.5    28     13 
14/11/1979  2.1    1.6    28     13 
15/11/1979  0.5    2.1    27     13 
16/11/1979  0      2.2    27     13 
17/11/1979  0.2    1.9    27     13 
18/11/1979  0      1.5    27     13 
19/11/1979  0.1    2      28     13 
